mapName=Cons-qtls
QGlb-dsr01-1a	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.157	9.581057864069848	7.462248554069857	11.699867171069867
QGlm-dsr01-1	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.052000000000000005	28.31214036681843	21.91496611681842	34.70931461681844
SGG	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.258	29.099999999999987	25.70183701736502	32.508821030316454
QGlab-dsr01-1a	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.09300000000000001	32.99195190607598	29.41503726607597	36.568866546075995
QGlb-dsr01-1b	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.066	34.5518890858285	29.51169118582849	39.59208698582848
GL30 11	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.127	46.88815674118972	44.04863334118973	49.72768014118971
GL15 7	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.23	46.88815674118972	45.32024604118972	48.45606744118972
GL45 10	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.083	46.88815674118972	42.543343841189724	51.23296964118971
GL45 9	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.08	67.6573950383742	63.14965163837421	72.1651384383742
GL30 10	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.057	70.82494071161159	64.49828331161159	77.15159811161159
Stg G1	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.121	71.77225499266243	66.09403378402024	77.45047620130461
Stg G2	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.11	71.77225499266243	65.49447643654602	78.05003354877883
Stg G3	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.226	71.77225499266243	68.80411568612651	74.74039429919836
Stg G4	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.114	71.77225499266243	65.72656385127065	77.8179461340542
GL45 2	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.057999999999999996	76.49750299605486	70.27992589605486	82.71508009605486
GL30 1	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.052000000000000005	76.49750299605486	69.56251319605487	83.43249279605486
QPglm-dsr01-2	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.071	80.54807715375205	74.60575808453953	86.49039622296453
GL30 9	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.09300000000000001	84.01778026338411	80.14015156338411	87.89540896338411
QStg3	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.131	94.82302498011698	90.73001578011697	98.916034180117
QGlam-sbi01-2	Stay Green	null	null	null	SBI-01	SBI-01	8.7	0.01	116.63685145376463	97.51885943376463	135.75484347376465
QGlaa-sbi01	Stay Green	null	null	null	SBI-01	SBI-01	11.8	0.01	116.63685145376463	102.54138275376464	130.73232015376462
GL45 1	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.08800000000000001	131.46520906349267	127.36726055349267	135.56315757349267
QGlam-sbi01-1	Stay Green	null	null	null	SBI-01	SBI-01	7.4	0.01	156.83158336790453	134.3550251779045	179.30814155790452
GL15 6	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.062	183.3251546391752	177.5087115891752	189.1415976891752
GL30 8	Stay Green	null	null	null	SBI-01	SBI-01	1.0	0.059000000000000004	183.3251546391752	177.21296024917518	189.4373490291752
