MQTL i95a i95b i90a i90b i75a i75a.1
1 1 9.81143921700377 20.7186584943033 12.1122057486853 18.4874459025757 13.5157242569636 17.1263568371394
2 2 -89.6423913062202 142.321825620004 -30.9092761410507 85.9715979932403 4.91922407748824 51.5967119147047
3 3 -87.335063238476 190.201231508295 -20.7541968555349 119.018460519146 19.86160530383 75.595394693866
4 4 34.8951269756455 74.2594366123289 44.9727951865144 63.0821115522255 51.120395848936 56.2636958725464
5 5 44.4800519792375 62.687661453091 47.3767634730799 60.0552116080059 50.1346821278286 57.548892787204
6 6 -68.7500050449366 181.553272416039 -1.24222253455946 122.981870542185 39.9390189784139 87.2520190106247
7 7 54.8407702523611 83.3659487231141 59.3078129209336 78.9883586574003 63.5608220084466 74.8205161467674
8 8 3.2266911154701 6.95582461720921 3.41953463424248 6.73201574271837 3.65511464753105 6.45860807020598
9 9 57.8577675560591 65.882718343125 59.6545198633744 64.4251513015161 60.7505785392044 63.5360031451147
10 10 60.2823402733418 67.8471207455451 61.7478807893309 66.1021646211634 62.6418929415849 65.0377027633523
11 11 65.4145969546592 71.0632054868309 66.146005005753 70.3377267095143 66.84236842083 69.6470084733908
12 12 69.9117216799456 71.2400256647411 70.0026397753251 71.142920335713 70.1137064383585 71.0242952719906
13 13 66.3384051998619 76.8928427017756 68.9520093263816 74.6220883805348 70.5463656916935 73.2368779848997
14 14 4.24035714776682 7.48399781851784 4.8289724387628 6.80766988392967 5.18804079437066 6.3950948743452
15 15 -2.98779627249651 88.6947349369048 14.7852889311536 68.2520560778443 25.6272642854716 55.7815695063484
16 16 52.6768396368064 62.978823330166 54.9322846713943 60.2765705029313 56.3081560633234 58.6281364680796
17 17 54.4944255638932 62.4303744050507 56.3996586021143 60.5515123041888 57.5618929248521 59.4053648369205
18 18 59.8817182050258 61.7227607195902 59.9574844014914 61.6336549195141 60.0425404221796 61.5336237033747
19 19 59.9403973919458 67.3726842512863 61.4005449167423 65.7251612341691 62.2912672250032 64.7201357283224
20 20 58.1449935762821 74.7547966970815 61.9961895501087 70.6198372065668 64.3455043344829 68.097420396341
21 21 66.1676614526607 72.4905026878302 67.6191737281601 71.2404917154804 68.5046283432217 70.4779573552636
22 22 -0.184622110907238 10.3885813636028 2.40964904338163 8.08989911897215 3.99221186772692 6.68765207192735
23 23 50.5104691296667 53.8571044824639 50.9530782322485 53.4299559544968 51.3744801921491 53.0232737922819
24 24 -224.530796827775 280.975177568743 -94.9085340061523 156.889827526842 -15.8360846941813 81.1950175616081
25 25 -23.2529367392844 57.2520238823334 -3.96399314118525 38.5866628514989 7.80268938495666 27.200379493436
26 26 56.4351565744685 70.5785165454758 59.791152994508 66.9811239919017 61.8383850905863 64.7866349114326
27 27 -35.169923985328 83.051044812353 -15.3088582445735 68.5373922668377 3.60058573217587 54.7191458902462
28 28 35.797019739461 80.1833815936044 45.5511839648834 68.9103819946281 51.5014400359161 62.0336027286266
29 29 -14.165555793592 73.3705503745957 -0.304847983239764 61.9543156825255 12.8917388081794 51.0850776893117
30 30 44.3384775028648 66.6131214658874 49.8299377117688 60.9978484058436 53.1798499842834 57.5724075537253
31 31 43.400965029365 72.3030423413844 50.3195820961517 64.8264602177603 54.5400916399117 60.2655796396253
32 32 56.7423160497726 62.4414699947321 57.1473434662679 61.8584558961539 57.5329644264538 61.3033762957629
