mapName=Cons-qtl
QPglm-dsr07-1a	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.1	0.833231290083567	0.0	4.159761902083565
QPglm-dsr07-1b	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.049	35.965865883478784	29.177027903478788	42.75470386347878
GL15 9	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.13	55.928481452723446	53.15448553272344	58.70247737272345
GL30 13	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.141	61.033701644114046	58.476116754114045	63.59128653411405
GL45 13	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.14300000000000002	66.13892183550463	63.61710736550464	68.66073630550463
GL15 3	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.052000000000000005	70.66211454316799	63.727124753167985	77.59710433316799
Stg E	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.13	87.05386491683021	82.0384802968302	92.06924953683021
GL15 10	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.055999999999999994	143.27836032967383	136.83872692967384	149.71799372967382
GL45 14	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.057999999999999996	143.27836032967383	137.06078322967383	149.49593742967383
GL30 14	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.067	143.27836032967383	137.89598022967382	148.66074042967384
QPglm-dsr07-2	Stay Green	null	null	null	SBI-07	SBI-07	1.0	0.10300000000000001	151.4538649168301	148.2242235468301	154.6835062868301
